"country","continent","year","lifeExp","pop","gdpPercap"
"Afghanistan","Asia",1957,30.332,9240934,820.8530296
"Angola","Africa",1967,35.985,5247469,5522.776375
"Bolivia","Americas",1987,57.251,6156369,2753.69149
"Brazil","Americas",1987,65.205,142938076,7807.095818
"Central African Republic","Africa",1982,48.295,2476971,956.7529907
"Chad","Africa",1957,39.881,2894855,1308.495577
"Chile","Americas",1987,72.492,12463354,5547.063754
"China","Asia",1967,58.38112,754550000,612.7056934
"Congo, Rep.","Africa",2002,52.97,3328795,3484.06197
"Denmark","Europe",1972,73.47,4991596,18866.20721
"Denmark","Europe",1977,74.69,5088419,20422.9015
"Equatorial Guinea","Africa",1997,48.245,439971,2814.480755
"Finland","Europe",1987,74.83,4931729,21141.01223
"Gabon","Africa",1992,61.366,985739,13522.15752
"Greece","Europe",2007,79.483,10706290,27538.41188
"Guatemala","Americas",1952,42.023,3146381,2428.237769
"Guinea-Bissau","Africa",1962,34.488,627820,522.0343725
"Jordan","Asia",1982,63.739,2347031,4161.415959
"Libya","Africa",2002,72.737,5368585,9534.677467
"Montenegro","Europe",2007,74.543,684736,9253.896111
"Namibia","Africa",2002,51.479,1972153,4072.324751
"New Zealand","Oceania",1957,70.26,2229407,12247.39532
"New Zealand","Oceania",1982,73.84,3210650,17632.4104
"Niger","Africa",2007,56.867,12894865,619.6768924
"Norway","Europe",1997,78.32,4405672,41283.16433
"Peru","Americas",1952,43.902,8025700,3758.523437
"Puerto Rico","Americas",1982,73.75,3279001,10330.98915
"Rwanda","Africa",1982,46.218,5507565,881.5706467
"Slovak Republic","Europe",1982,70.8,5048043,11348.54585
"Somalia","Africa",1997,43.795,6633514,930.5964284
"Spain","Europe",1997,78.77,39855442,20445.29896
"Sri Lanka","Asia",1967,64.266,11737396,1135.514326
"Togo","Africa",2002,57.561,4977378,886.2205765
"Venezuela","Americas",1982,68.557,15620766,11152.41011
